,Date,Posts,Company,Source,Open,Close,Volume,Returns
0,2020-08-03,1446,NFLX,Twitter,491.0,499.0,5876190,0.016293279022403257
1,2020-08-03,1458,FB,Twitter,253.0,252.0,23134104,-0.003952569169960474
2,2020-08-03,104780,AMZN,Twitter,3181.0,3112.0,5074663,-0.02169129204652625
3,2020-08-03,7736,AAPL,Twitter,108.0,109.0,308151392,0.009259259259259259
4,2020-08-04,122798,AMZN,Twitter,3101.0,3139.0,4694294,0.012254111576910674
5,2020-08-04,6429,AAPL,Twitter,109.0,110.0,172792368,0.009174311926605505
6,2020-08-04,1166,FB,Twitter,252.0,250.0,17183532,-0.007936507936507936
7,2020-08-04,1366,NFLX,Twitter,501.0,510.0,5607968,0.017964071856287425
8,2020-08-05,4318,AAPL,Twitter,109.0,110.0,121991952,0.009174311926605505
9,2020-08-05,1192,NFLX,Twitter,508.0,502.0,4313526,-0.011811023622047244
10,2020-08-05,835,FB,Twitter,250.0,249.0,13088361,-0.004
11,2020-08-05,122541,AMZN,Twitter,3144.0,3205.0,3930025,0.01940203562340967
12,2020-08-06,125029,AMZN,Twitter,3194.0,3225.0,3940602,0.009705698184095179
13,2020-08-06,1288,NFLX,Twitter,503.0,509.0,3725861,0.011928429423459244
14,2020-08-06,7037,AAPL,Twitter,110.0,114.0,202428896,0.03636363636363636
15,2020-08-06,1095,FB,Twitter,249.0,265.0,45241612,0.0642570281124498
16,2020-08-07,5711,AAPL,Twitter,113.0,111.0,198045616,-0.017699115044247787
17,2020-08-07,1242,FB,Twitter,264.0,268.0,72766368,0.015151515151515152
18,2020-08-07,117197,AMZN,Twitter,3224.0,3167.0,3936127,-0.017679900744416874
19,2020-08-07,1450,NFLX,Twitter,505.0,495.0,5910348,-0.019801980198019802
20,2020-08-10,5385,AAPL,Twitter,113.0,113.0,212403424,0.0
21,2020-08-10,936,FB,Twitter,268.0,263.0,30248826,-0.018656716417910446
22,2020-08-10,104180,AMZN,Twitter,3170.0,3148.0,3167274,-0.00694006309148265
23,2020-08-10,1362,NFLX,Twitter,494.0,483.0,4691185,-0.022267206477732792
24,2020-08-11,5510,AAPL,Twitter,112.0,109.0,187902368,-0.026785714285714284
25,2020-08-11,1668,NFLX,Twitter,479.0,467.0,7329226,-0.025052192066805846
26,2020-08-11,1042,FB,Twitter,261.0,256.0,28238284,-0.019157088122605363
27,2020-08-11,115237,AMZN,Twitter,3113.0,3081.0,3718057,-0.01027947317699968
28,2020-08-12,103441,AMZN,Twitter,3108.0,3162.0,3527229,0.017374517374517374
29,2020-08-12,970,FB,Twitter,259.0,260.0,21428328,0.003861003861003861
30,2020-08-12,5228,AAPL,Twitter,110.0,113.0,165944816,0.02727272727272727
31,2020-08-12,1591,NFLX,Twitter,471.0,475.0,5441243,0.008492569002123142
32,2020-08-13,817,FB,Twitter,261.0,261.0,17373970,0.0
33,2020-08-13,8009,AAPL,Twitter,114.0,115.0,210082064,0.008771929824561403
34,2020-08-13,1324,NFLX,Twitter,478.0,481.0,3008933,0.006276150627615063
35,2020-08-13,100004,AMZN,Twitter,3183.0,3161.0,3149043,-0.006911718504555451
36,2020-08-14,5949,AAPL,Twitter,115.0,115.0,165565216,0.0
37,2020-08-14,1445,FB,Twitter,262.0,261.0,14792708,-0.003816793893129771
38,2020-08-14,1402,NFLX,Twitter,483.0,483.0,2943487,0.0
39,2020-08-14,115591,AMZN,Twitter,3178.0,3148.0,2751723,-0.009439899307740718
40,2020-08-17,1288,NFLX,Twitter,484.0,482.0,2423545,-0.004132231404958678
41,2020-08-17,5119,AAPL,Twitter,116.0,115.0,119561440,-0.008620689655172414
42,2020-08-17,902,FB,Twitter,262.0,261.0,13351062,-0.003816793893129771
43,2020-08-17,104977,AMZN,Twitter,3173.0,3182.0,2691237,0.0028364323983611725
44,2020-08-18,113808,AMZN,Twitter,3212.0,3312.0,5345974,0.031133250311332503
45,2020-08-18,1119,FB,Twitter,261.0,262.0,18690384,0.0038314176245210726
46,2020-08-18,5089,AAPL,Twitter,114.0,116.0,105633536,0.017543859649122806
47,2020-08-18,1592,NFLX,Twitter,484.0,492.0,3505518,0.01652892561983471
48,2020-08-19,120900,AMZN,Twitter,3303.0,3260.0,4185137,-0.013018468059339995
49,2020-08-19,1133,FB,Twitter,261.0,263.0,23291464,0.007662835249042145
50,2020-08-19,9511,AAPL,Twitter,116.0,116.0,145538016,0.0
51,2020-08-19,1586,NFLX,Twitter,494.0,485.0,3156218,-0.018218623481781375
52,2020-08-20,127724,AMZN,Twitter,3252.0,3297.0,3332478,0.013837638376383764
53,2020-08-20,7783,AAPL,Twitter,116.0,118.0,126907184,0.017241379310344827
54,2020-08-20,1139,FB,Twitter,262.0,269.0,20299688,0.026717557251908396
55,2020-08-20,1955,NFLX,Twitter,485.0,498.0,5132480,0.026804123711340205
56,2020-08-21,1838,NFLX,Twitter,496.0,492.0,3921293,-0.008064516129032258
57,2020-08-21,372468,AMZN,Twitter,3295.0,3285.0,3575862,-0.0030349013657056147
58,2020-08-21,917,FB,Twitter,269.0,267.0,15538615,-0.007434944237918215
59,2020-08-21,12280,AAPL,Twitter,119.0,124.0,338054656,0.04201680672268908
60,2020-08-24,1266,NFLX,Twitter,495.0,489.0,4762183,-0.012121212121212121
61,2020-08-24,10855,AAPL,Twitter,129.0,126.0,345937760,-0.023255813953488372
62,2020-08-24,875,FB,Twitter,271.0,271.0,23685604,0.0
63,2020-08-24,238626,AMZN,Twitter,3310.0,3307.0,4666258,-0.0009063444108761329
64,2020-08-25,1620,NFLX,Twitter,488.0,491.0,5727721,0.006147540983606557
65,2020-08-25,8644,AAPL,Twitter,125.0,125.0,211495792,0.0
66,2020-08-25,974,FB,Twitter,272.0,281.0,42127240,0.03308823529411765
67,2020-08-25,133368,AMZN,Twitter,3295.0,3346.0,3992842,0.015477996965098634
68,2020-08-26,7757,AAPL,Twitter,126.0,127.0,163022272,0.007936507936507936
69,2020-08-26,2563,FB,Twitter,285.0,304.0,69015152,0.06666666666666667
70,2020-08-26,128473,AMZN,Twitter,3351.0,3442.0,6508743,0.027156072814085348
71,2020-08-26,3759,NFLX,Twitter,493.0,548.0,20373680,0.11156186612576065
72,2020-08-27,6996,AAPL,Twitter,127.0,125.0,155552384,-0.015748031496062992
73,2020-08-27,2166,NFLX,Twitter,538.0,526.0,9062912,-0.022304832713754646
74,2020-08-27,1726,FB,Twitter,300.0,293.0,30301308,-0.023333333333333334
75,2020-08-27,129742,AMZN,Twitter,3450.0,3400.0,4264795,-0.014492753623188406
76,2020-08-28,706,FB,Twitter,295.0,294.0,17172416,-0.003389830508474576
77,2020-08-28,267255,AMZN,Twitter,3423.0,3402.0,2896978,-0.006134969325153374
78,2020-08-28,7399,AAPL,Twitter,126.0,125.0,187629920,-0.007936507936507936
79,2020-08-28,1440,NFLX,Twitter,532.0,524.0,4417517,-0.015037593984962405
80,2020-08-31,893,FB,Twitter,294.0,293.0,17345134,-0.003401360544217687
81,2020-08-31,15027,AAPL,Twitter,128.0,129.0,225702688,0.0078125
82,2020-08-31,1712,NFLX,Twitter,521.0,530.0,4941409,0.01727447216890595
83,2020-08-31,120093,AMZN,Twitter,3409.0,3451.0,4185885,0.012320328542094456
